date,coin_id,price_usd,daily_active_addresses,transaction_volume,marketcap_usd,whale_trans_count_100k,whale_trans_volume_100k,whale_trans_count_1m,whale_trans_volume_1m
2024-05-01,ethereum,2969.784787064273,538439.0,2446798.4870914184,362491631191.0,7825.0,5702106253.885999,825.0,3890811605.7228928
2024-05-02,ethereum,2988.191052840525,567695.0,1786754.6785828988,358856767729.0,5329.0,4035263440.205672,689.0,2734537612.5581627
2024-05-03,ethereum,3103.58473952557,545744.0,1771123.428987316,372721946935.0,5196.0,4003604986.5478168,794.0,2775827521.4095798
2024-05-04,ethereum,3117.720215115144,560073.0,1076279.7259539596,374425045335.0,4891.0,2330149598.761836,416.0,1234381234.8549879
2024-05-05,ethereum,3137.768518567706,556549.0,1025557.6002775091,376838923488.0,4661.0,2224992412.4090824,344.0,1223783841.4374216
2024-05-06,ethereum,3063.488328910815,531872.0,1615722.8477049673,367923712497.0,6316.0,3860073906.6189756,636.0,2418259598.8464594
2024-05-07,ethereum,3006.807027039665,537928.0,1966536.5379046714,361122145204.0,5711.0,4582151024.7815695,783.0,3239296697.0259213
2024-05-08,ethereum,2972.276908431872,508309.0,1733954.1538319753,356980328014.0,5778.0,3943275711.0505705,601.0,2534279713.08456
2024-05-09,ethereum,3036.27549605691,495802.0,1660418.9544034263,364672605345.0,5537.0,3666014292.073008,526.0,2348693113.992316
2024-05-10,ethereum,2909.845509946899,526719.0,1603381.0029638968,349493716676.0,5172.0,3580355293.1200027,576.0,2290701226.309078
2024-05-11,ethereum,2911.658220298095,507084.0,778934.8197916201,349716696913.0,2499.0,1393723986.8479037,219.0,772107020.0865372
2024-05-12,ethereum,2929.558091889026,482850.0,845610.4590859947,351872785319.0,2422.0,1574286549.39292,305.0,1004549658.7192748
2024-05-13,ethereum,2949.759206668126,471948.0,2115175.539692948,354305223986.0,5777.0,4821912008.939281,776.0,3459876890.1397142
2024-05-14,ethereum,2881.265648977535,483817.0,1402865.133887256,346083185829.0,4580.0,2802776987.3778386,460.0,1653362719.5803545
2024-05-15,ethereum,3036.393828222355,483344.0,1871127.9346049025,364721718943.0,5150.0,4043323014.554891,617.0,2703053067.928968
2024-05-16,ethereum,2945.137079120492,485243.0,1881830.3694588789,353765184524.0,5385.0,4219823504.387985,642.0,2836453030.5542097
2024-05-17,ethereum,3094.553360611128,474980.0,1625990.8610153196,371718713354.0,4948.0,3641442095.8530736,686.0,2363800032.701128
2024-05-18,ethereum,3122.875007311382,504313.0,883878.3217881834,375126826833.0,2870.0,1737620869.065115,321.0,1002292652.096881
2024-05-19,ethereum,3072.52764262661,446038.0,1186586.677806796,369085364962.0,3270.0,2187967202.5564437,380.0,1414189330.84178
2024-05-20,ethereum,3660.173297926061,471754.0,3231407.5865387367,439684002498.0,11831.0,8434813560.042078,1393.0,5967663899.182663
2024-05-21,ethereum,3789.372745069455,518636.0,4311772.867182814,455207680323.0,17733.0,14109189896.547548,2352.0,10406470190.321423
2024-05-22,ethereum,3737.178371169733,492296.0,2699252.7823175993,448941674043.0,10685.0,8599379246.124723,1496.0,6207740458.630444
2024-05-23,ethereum,3776.992309661736,470276.0,3618404.649028311,453729882488.0,12399.0,12013233350.585594,1988.0,9232688479.842476
2024-05-24,ethereum,3726.801265754976,471755.0,2942647.7767343894,447704924623.0,9378.0,9548507893.026093,1417.0,7533139878.3648615
2024-05-25,ethereum,3749.235380508437,510812.0,1286014.537301178,450406009355.0,6012.0,3682973020.0022817,558.0,2456914145.7041683
2024-05-26,ethereum,3825.559654549571,472781.0,1314339.5303022764,459583127464.0,6924.0,3821402737.2891893,641.0,2412565016.950836
2024-05-27,ethereum,3894.736949364765,466888.0,1978488.0027028061,467901108418.0,8737.0,6112355036.083788,1057.0,4218642623.491425
2024-05-28,ethereum,3840.235097761756,424929.0,2561053.6181535292,461356751458.0,13563.0,8242295095.731335,1126.0,5822011309.476853
2024-05-29,ethereum,3763.35754568414,479063.0,2596761.4444217305,452123742604.0,13296.0,8403832338.611793,1075.0,6085045937.2696905
2024-05-30,ethereum,3747.888167689428,454346.0,2768668.6961402707,450270152427.0,8439.0,8941302312.00886,927.0,7344139330.497595
2024-05-31,ethereum,3762.16290113857,467008.0,1991277.9319618398,451989193710.0,9062.0,6035739938.21727,884.0,4318197064.786608
2024-06-01,ethereum,3812.925411867497,428649.0,1010544.5492174173,458092830792.0,5450.0,2538525072.6935906,416.0,1415506094.0037827
2024-06-02,ethereum,3783.321549820113,404633.0,1057328.5777065896,454543199985.0,5622.0,2735702808.294351,460.0,1600065094.318267
2024-06-03,ethereum,3766.455133986466,434346.0,1959437.77974203,452522828275.0,8400.0,5938909249.5494175,858.0,4204485845.3905854
2024-06-04,ethereum,3813.09376000342,460947.0,1827326.9829223133,458130906513.0,10052.0,5549477828.480571,935.0,3640347978.8281145
2024-06-05,ethereum,3864.321568362154,447695.0,1751331.0456616597,464291890414.0,7989.0,5071307746.516677,763.0,3460098914.8416433
2024-06-06,ethereum,3811.666103475581,439337.0,2103727.2658033525,457968115122.0,8350.0,6422410399.907928,760.0,4788076777.717697
2024-06-07,ethereum,3678.629122346332,467553.0,1759851.079581523,441985672709.0,8472.0,4880661926.391044,739.0,3153687241.55267
2024-06-08,ethereum,3680.949898742791,471268.0,1155996.0177259427,442263268174.0,5950.0,2725192617.798239,400.0,1505621589.9604268
